Name,Description,frontImage,backImage,vendorName,link,Garment Type,caption
DENIM BOMBER JACKET,"Jacket made of denim fabric with quilted lining. Featuring a ribbed elasticated collar, long sleeves, welt hip pockets, an inside pocket, elasticated hem, contrast topstitching all over the garment and a zip-up front.",JacketFront39,JacketBack39,Zara,"https://www.zara.com/eg/en/denim-bomber-jacket-p00621400.html
",Jacket,blue blueness color coloring colour colouring departure going going_away jacket leaving slide_fastener wool woolen woollen zip zip_fastener zipper
100% LINEN JACKET,Collared jacket made of linen fabric. Long sleeves with buttoned cuffs. Flap pockets on the chest. Button-up front.,JacketFront4,JacketBack4,Zara,"https://www.zara.com/eg/en/100-linen-jacket-p02634602.html
",Jacket,1 I ace cut dress frock hand manus mitt one paw single summer summertime unity
FAUX LEATHER PUFFER JACKET,Jacket with a quilted interior made of leather effect. Lapel collar and long sleeves with snap button cuffs. Hip welt pockets and an inside pocket detail. Elasticated hem. Zip-up front hidden by a snap-button placket.,JacketFront40,JacketBack40,Zara,"https://www.zara.com/eg/en/faux-leather-puffer-jacket-p03833302.html
",Jacket,adult_female bag black blackness dress fashion frock inkiness manner mix mode premix style way woman
SUEDE LEATHER JACKET,Jacket made of leather with a suede finish. High neck and long sleeves. Jetted pockets at the hip. Interior pocket detail. Ribbed trims. Front zip fastening.,JacketFront43,JacketBack43,Zara,"https://www.zara.com/eg/en/suede-leather-jacket-p02521350.html
",Jacket,aught cipher cypher goon goose_egg hood hoodlum jacket material midst nada naught nil nix nothing nude nude_painting null punk strong-armer stuff thick thug tough toughie waisted zero zilch zip zippo
COTTON - LINEN BLEND JACKET,Jacket made of a linen and cotton blend fabric. Lapel collar and long sleeves with buttoned cuffs. Chest patch pockets and side hip pockets. Elasticated hem. Front zip fastening.,JacketFront44,JacketBack44,Zara,"https://www.zara.com/eg/en/cotton---linen-blend-jacket-p00706103.html
",Jacket,adult_female aught brown brownness cipher cypher goose_egg jacket leather nada naught nil nix nothing null woman zero zilch zip zippo
PACKABLE WINDBREAKER JACKET,"Jacket made of textured ripstop fabric that is resistant to tearing. Featuring a high neck, long sleeves with hook-and-loop straps on the cuffs, front welt pockets with zips and an inside pocket. Back pocket with hook-and-loop strap fastening for folding up the garment, an adjustable hem with elasticated sides and front zip fastening.",JacketFront45,JacketBack45,Zara,"https://www.zara.com/eg/en/packable-windbreaker-jacket-p04575400.html
",Jacket,adult_female black blackness blue blueness design designing inkiness light line multi red redness shirt visible_light visible_radiation woman
FAUX LEATHER BOMBER JACKET,Jacket made of leather-effect fabric. Elasticated ribbed neck and long sleeves. Pockets with a zip and flap closure at the hip. Inside pocket detail. Elasticated trims. Front zip fastening.,JacketFront46,JacketBack46,Zara,"https://www.zara.com/eg/en/faux-leather-bomber-jacket-p08281667.html
",Jacket,adult_female black blackness fashionable inkiness jacket leather partywear stylish woman
EMBROIDERED JUNGLE JACKET,Jacket with lightly padded interior. Lapel collar made of corduroy fabric. Long sleeves. Hip patch pockets. Button-up front.,JacketFront47,JacketBack47,Zara,"https://www.zara.com/eg/en/embroidered-jungle-jacket-p02795407.html
",Jacket,Caucasian White White_person adult_female jacket red redness thin top wear winter wintertime woman
CROPPED FIT JACKET,Cropped jacket made of cotton fabric. Lapel collar and long sleeves. Side pockets at the hip and an inside pocket detail. Front zip fastening.,JacketFront5,JacketBack5,Zara,"https://www.zara.com/eg/en/cropped-fit-jacket-p00706186.html
",Jacket,aught babe baby cipher cypher goose_egg infant nada naught nil nix nothing null pink top zero zilch zip zippo
JACKET WITH POCKETS,Jacket made of technical fabric. Collar and long sleeves with buttoned cuffs. Flap patch pockets on the chest and welt hip pockets. Front zip fastening hidden by a snap-button placket.,JacketFront52,JacketBack52,Zara,"https://www.zara.com/eg/en/jacket-with-pockets-p03046416.html
",Jacket,adult_female casual insouciant lady nonchalant pink shirt woman
WAXED-EFFECT JACKET,Collared jacket made of cotton with a waxed finish. Long sleeves with buttoned cuffs. Patch pockets on the chest and hip side pockets. Button-up front.,JacketFront53,JacketBack53,Zara,"https://www.zara.com/eg/en/waxed-effect-jacket-p07563505.html
",Jacket,check check_into check_out check_over check_up_on go_over goon hood hoodlum jacket look_into punk red redness strong-armer suss_out thug tough toughie
BOMBER JACKET WITH PATCHES,Varsity jacket made of faux suede fabric. Jetted hip pockets and inside pocket detail. Contrast embroidery and patch appliqués on the front and back. Ribbed trims. Snap-buttons down the front.,JacketFront55,JacketBack55,Zara,"https://www.zara.com/eg/en/bomber-jacket-with-patches-p03918330.html
",Jacket,adult_female black blackness button inkiness lace lacing slide_fastener woman zip zip_fastener zipper
WOOL BLEND JACKET,Jacket made of a wool blend. Collar and long sleeves. Hip welt pockets and inside pocket detail. Ribbed trims. Front zip fastening.,JacketFront56,JacketBack56,Zara,"https://www.zara.com/eg/en/wool-blend-jacket-p09621448.html
",Jacket,adult_female black blackness button glistening glossy inkiness jacket lustrous sheeny shining shiny woman
JACKET WITH POCKETS,"Jacket made of cotton. Featuring a high neck, long sleeves with elasticated cuffs, Patch pockets with flaps on the chest and welt pockets at the hi. Adjustable hem with elasticated sides. Zip-up front.",JacketFront59,JacketBack59,Zara,"https://www.zara.com/eg/en/jacket-with-pockets-p02878402.html
",Jacket,Bourgogne Burgundy arm collar gray grayness grey greyness hanker jacket leather long neckband sleeve yearn
DENIM JACKET WITH POCKET,Slightly cropped denim jacket with a lapel collar and long sleeves and buttoned cuffs. Flap patch pocket on the chest and side pockets at the hip. Faded. Button-up front.,JacketFront61,JacketBack61,Zara,"https://www.zara.com/eg/en/denim-jacket-with-pocket-p00840482.html
",Jacket,2 II arm blue_jean denim deuce hanker jean long pocket rough shirt sleeve two yearn
FAUX SUEDE BOMBER JACKET,Jacket made of faux suede. Ribbed elasticated neck and long sleeves. Welt pockets at the hip. Ribbed hem. Zip-up front.,JacketFront62,JacketBack62,Zara,"https://www.zara.com/eg/en/faux-suede-bomber-jacket-p08574500.html
",Jacket,adult_female arm button hanker jacket long pink sleeve woman yearn
GEOMETRIC JACQUARD JACKET,Collared jacket made of a cotton blend fabric. Long sleeves with buttoned cuffs. Patch pockets at the hip. Buttoned front.,JacketFront63,JacketBack63,Zara,"https://www.zara.com/eg/en/geometric-jacquard-jacket-p02675418.html
",Jacket,arm black blackness button cervix departure going going_away hanker inkiness jacket leaving long neck nylon sleeve yearn
JACKET WITH CONTRAST PATCHES AND HOOD,Varsity jacket featuring a collar with elasticated trim and contrast hood. Long sleeves. Welt hip pockets and an inside pocket. Contrast embroidery appliqué and patch on the front and back. Ribbed trims. Snap-button front.,JacketFront65,JacketBack65,Zara,"https://www.zara.com/eg/en/jacket-with-contrast-patches-and-hood-p03833400.html
",Jacket,black blackness casual cotton cotton_fiber cotton_wool inkiness insouciant nonchalant sleeveless top
FADED-EFFECT COTTON JACKET,"Relaxed fit jacket made of cotton fabric. High neck and hood with peak. Long sleeves featuring cuffs with adjustable tabs. Flap pockets at the hip. Adjustable hem with drawstring on the front. Faded effect. Front zip fastening hidden by a snap-button placket.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront66,JacketBack66,Zara,"https://www.zara.com/eg/en/faded-effect-cotton-jacket-p04302320.html
",Jacket,beautiful brown brownness jacket party political_party wear winter wintertime
JACKET WITH POCKETS,Cropped fit collared jacket made of cotton. Featuring long sleeves and buttoned cuffs. Inner seams with contrast trims. Jetted pockets at the hip and a zip-up front.,JacketFront7,JacketBack7,Zara,"https://www.zara.com/eg/en/jacket-with-pockets-p03046511.html
",Jacket,arm brown brownness chiffon hanker long pink shirt sleeve yearn
BOXY FIT JACKET,Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Patch pockets with flaps on the hip. Zip-up front.,JacketFront70,JacketBack70,Zara,"https://www.zara.com/eg/en/boxy-fit-jacket-p05520406.html
",Jacket,beautiful black blackness button inkiness light pink raincoat shirt visible_light visible_radiation waterproof
FAUX LEATHER BOMBER JACKET,Jacket made of faux leather fabric. High neck and long sleeves. Welt pockets at the hip and interior pocket detail. Ribbed trims. Front zip fastening.,JacketFront71,JacketBack71,Zara,"https://www.zara.com/eg/en/faux-leather-bomber-jacket-p03918420.html
",Jacket,adult_female black blackness fashionable inkiness jacket leather stylish woman
LINEN BLEND JACKET - LIMITED EDITION,"Cropped fit jacket made of a linen blend fabric. Featuring a lapel collar, long sleeves and welt pockets at the hip. Front zip fastening.",JacketFront72,JacketBack72,Zara,"https://www.zara.com/eg/en/linen-blend-jacket---limited-edition-p04573521.html
",Jacket,adult_female arm coat full full-of-the-moon full_moon full_phase_of_the_moon red redness sleeve woman
JACKET WITH CONTRAST COLLAR,Relaxed-fit jacket. Contrast lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Inside pocket detail. Faded effect. Zip-up front.,JacketFront73,JacketBack73,Zara,"https://www.zara.com/eg/en/jacket-with-contrast-collar-p06987331.html
",Jacket,bank_check check cheque conniption cutis design designing fit pant scene skin slide_fastener tantrum tegument zip zip_fastener zipper
WOOL BLEND JACKET,"Cropped fit jacket made of a wool blend fabric. Featuring a lapel collar, long sleeves and welt pockets at the hip. Front hidden button fastening.",JacketFront74,JacketBack74,Zara,"https://www.zara.com/eg/en/wool-blend-jacket-p04160752.html
",Jacket,adult_female arm black blackness blue_jean denim hanker inkiness jean long silk sleeve top woman yearn
SPLIT SUEDE LEATHER JACKET,"Cropped leather jacket with a split suede finish. Featuring a lapel collar, long sleeves, front in-seam pockets and front zip fastening.",JacketFront75,JacketBack75,Zara,"https://www.zara.com/eg/en/split-suede-leather-jacket-p02521102.html
",Jacket,brown brownish chocolate-brown dark-brown jacket pant red redness trouser
TEXTURED CROPPED JACKET,Cropped-fit collared jacket with long sleeves and buttoned cuffs. Patch pockets at the hip. Button-up front.,JacketFront76,JacketBack76,Zara,"https://www.zara.com/eg/en/textured-cropped-jacket-p02675403.html
",Jacket,Midi beautiful black blackness casual dress frock inkiness insouciant nonchalant party partywear political_party wear
HOODED DENIM JACKET,Relaxed fit denim jacket. Hood and long sleeves with buttoned cuffs. Patch pockets with flaps at the hip. Button-up front.,JacketFront77,JacketBack77,Zara,"https://www.zara.com/eg/en/hooded-denim-jacket-p04060414.html
",Jacket,adult_female aught cipher colored colored_person cream cypher goose_egg nada naught nil nix nothing null pick shirt waterproof woman zero zilch zip zippo
FAUX LEATHER BIKER JACKET,Jacket made of faux leather fabric. Lapel collar with snap-button details. Long sleeves with zip cuffs. Front zip pockets on the chest and hip. Inside pocket. Asymmetric metal zip-up front.,JacketFront78,JacketBack78,Zara,"https://www.zara.com/eg/en/faux-leather-biker-jacket-p03427320.html
",Jacket,adult_female black blackness fancy fantasy illusion inkiness jacket leather phantasy woman zip zip_up zipper
MATCHING COLLAR PUFFER JACKET,Cropped jacket with quilted lining. Lapel collar made of faux shearling. Long sleeves. Flap pockets at the hip and an inside pocket. Adjustable hem at the front with drawstrings. Zip-up front.,JacketFront79,JacketBack79,Zara,"https://www.zara.com/eg/en/matching-collar-puffer-jacket-p06318410.html
",Jacket,adult_female black blackness fur goon hood hoodlum inkiness jacket leather pelt punk strong-armer thug tough toughie woman
FAUX SUEDE BOMBER JACKET,Jacket made of faux suede. Ribbed elasticated high neck and long sleeves. Welt pockets at the hip. Ribbed hem. Zip-up front.,JacketFront80,JacketBack80,Zara,"https://www.zara.com/eg/en/faux-suede-bomber-jacket-p06318600.html
",Jacket,adult_female arm brown brownness full full-of-the-moon full_moon full_phase_of_the_moon jacket leather sleeve woman
FAUX LEATHER OVERSHIRT,"Cropped fit collared overshirt made of leather effect fabric. Featuring long sleeves, patch pockets with flaps on the chest, side pockets at the hip, irregular trims and a zip-up front.",JacketFront81,JacketBack81,Zara,"https://www.zara.com/eg/en/faux-leather-overshirt-p05070665.html
",Jacket,band banding black blackness blazer color coloring colour colouring inkiness sport_coat sport_jacket sports_coat sports_jacket stripe
WASHED CROSSOVER BLAZER,Relaxed-fit blazer made of cotton twill. Notched lapel collar and long sleeves. Patch pockets on the chest and hip. Washed effect. Crossover button fastening on the front.,JacketFront83,JacketBack83,Zara,"https://www.zara.com/eg/en/washed-crossover-blazer-p00706927.html
",Jacket,bank_check belt belt_out check cheque coat hanker hem jacket long yearn
CROPPED BOMBER JACKET - LIMITED EDITION,Jacket with a slightly padded interior. Ribbed collar and long sleeves. Flap pockets at the waist. Ribbed hem. Front asymmetric zip fastening.,JacketFront84,JacketBack84,Zara,"https://www.zara.com/eg/en/cropped-bomber-jacket---limited-edition-p08281600.html
",Jacket,black blackness color coloring_material colour colouring_material cotton cotton_fiber cotton_wool inkiness shirt soft
WAXED JACKET WITH CONTRAST COLLAR,Jacket made of fabric with a waxed finish. Slightly padded interior. Lapel collar in contrast fabric. Long sleeves. Patch pockets at the hip. Inside pocket. Slightly cropped length. Zip-up front hidden by a button placket.,JacketFront85,JacketBack85,Zara,"https://www.zara.com/eg/en/waxed-jacket-with-contrast-collar-p06861405.html
",Jacket,Grey Zane_Grey cotton cotton_fiber cotton_wool departure going going_away jacket leaving pocket side
UTILITY JACKET WITH POCKETS,Cropped jacket. Lapel collar and long sleeves. Utility pockets with zip fastenings on the front. Faded effect. Elasticated hem. Adjustable hem with elastic at the sides. Front zip fastening.,JacketFront86,JacketBack86,Zara,"https://www.zara.com/eg/en/utility-jacket-with-pockets-p05520451.html
",Jacket,adult_female cut mustard top woman
FADED HOODIE,Long sleeve hoodie with an adjustable hood. Faded effect. Featuring a front pouch pocket and ribbed trims.,JacketFront87,JacketBack87,Zara,"https://www.zara.com/eg/en/faded-hoodie-p00761408.html
",Jacket,cold common_cold fancy fantasy illusion jacket phantasy pink red redness vino wine
TEXTURED SWEATSHIRT,Sweatshirt made of fabric with an irregular finish. Round neck and long sleeves. Ribbed trims.,JacketFront88,JacketBack88,Zara,"https://www.zara.com/eg/en/textured-sweatshirt-p00526407.html
",Jacket,Grey Zane_Grey arm hanker jacket jumper knit long pink shirt sleeve sweater yearn
FADED CROPPED SWEATSHIRT,"Cropped fit faded sweatshirt with a round neck, long sleeves, rip details and ribbed trims.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront89,JacketBack89,Zara,"https://www.zara.com/eg/en/faded-cropped-sweatshirt-p03854405.html
",Jacket,adult_female animal animate_being beast blue blueness brute coat conniption creature cutis fauna fit light scene skin tantrum tegument visible_light visible_radiation woman
LEATHER JACKET WITH POCKETS,Cropped fit leather jacket. Lapel collar and long sleeves with snap-button cuffs. Front patch pockets with flaps. Snap-button fastening on the front.,JacketFront9,JacketBack9,Zara,"https://www.zara.com/eg/en/leather-jacket-with-pockets-p02521200.html
",Jacket,adult_female black blackness inkiness jacket leather wear winter wintertime woman
HOODIE WITH SLOGAN,Hoodie made of cotton fabric with a napped interior. Long sleeves. Welt pockets at the hip. Slogan prints on the front. Ribbed trims.,JacketFront90,JacketBack90,Zara,"https://www.zara.com/eg/en/hoodie-with-slogan-p05584416.html
",Jacket,design designing jacket leopard pink red redness silk
ROUND NECK FADED SWEATSHIRT,"Faded oversize sweatshirt featuring a round neckline, long sleeves and ribbed trims.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront92,JacketBack92,Zara,"https://www.zara.com/eg/en/round-neck-faded-sweatshirt-p00039443.html
",Jacket,cut gown gray grayness grey greyness hanker long pant red redness shirt stripe yearn
CROPPED FIT FADED HOODIE,"Cropped fit hoodie made of cotton with a napped interior. Featuring a hood, long sleeves, faded effect and ribbed trims.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront93,JacketBack93,Zara,"https://www.zara.com/eg/en/cropped-fit-faded-hoodie-p01930403.html
",Jacket,adult_female black blackness cervix design designing inkiness mustard neck red redness shirt vee vino wine woman
FADED SWEATSHIRT WITH POCKETS,"Loose-fitting faded sweatshirt with a round neck, long sleeves, in-seam hip pockets on the front and ribbed trims.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront94,JacketBack94,Zara,"https://www.zara.com/eg/en/faded-sweatshirt-with-pockets-p03854404.html
",Jacket,brown brownness design designing flower red redness shirt wear winter wintertime
FADED HOODIE,"Loose-fitting long sleeve hoodie. Featuring a front slogan print, faded effect, a pouch pocket and ribbed trims.",JacketFront95,JacketBack95,Zara,"https://www.zara.com/eg/en/faded-hoodie-p04087409.html
",Jacket,Grey Zane_Grey accommodate adult_female arm blue blueness button cervix conniption fit free full full-of-the-moon full_moon full_phase_of_the_moon hanker liberate long loose neck one_shot red redness release round scene sleeve suit tantrum unit_of_ammunition unloose unloosen woman yearn
HOODIE WITH PHOTO PATCHES,Loose-fitting hoodie with an adjustable drawstring hood and long sleeves. Front pouch pocket. Contrast patch appliqués on the front and back. Ribbed trims.,JacketFront96,JacketBack96,Zara,"https://www.zara.com/eg/en/hoodie-with-photo-patches-p05584408.html
",Jacket,adult_female arm fashionable full full-of-the-moon full_moon full_phase_of_the_moon sleeve stylish top wear winter wintertime woman
FADED HOODIE,"Long sleeve hoodie with an adjustable hood. Faded effect. Ribbed trims.<br/><br/>The garment is unique thanks to its special washing process. For this reason, it may differ in colour from that of the photo.",JacketFront97,JacketBack97,Zara,"https://www.zara.com/eg/en/faded-hoodie-p02888400.html
",Jacket,aught button cervix cipher cypher goon goose_egg hood hoodlum jacket midst nada naught neck nil nix nothing null one_shot punk round sleeveless strong-armer thick thug tough toughie unit_of_ammunition winter wintertime zero zilch zip zippo
COTTON QUARTER-ZIP SWEATSHIRT,Sweatshirt made of a compact cotton fabric. High neck with front zip fastening. Long sleeves. Ribbed trims.<br/><br/>Zara Athleticz.,JacketFront98,JacketBack98,Zara,"https://www.zara.com/eg/en/cotton-quarter-zip-sweatshirt-p00761334.html
",Jacket,Caucasian White White_person adult_female arm cosmetic decorative detail hanker long ornamental sleeve vino wine woman wool woolen woollen yearn
HOODIE WITH PHOTO PATCH,Hoodie featuring long sleeves with ribbed cuffs and a contrast printed patch appliqué on the front.,JacketFront99,JacketBack99,Zara,"https://www.zara.com/eg/en/hoodie-with-photo-patch-p03665414.html
",Jacket,arm black blackness champaign cotton cotton_fiber cotton_wool field hanker inkiness jacket large long plain sleeve vest waistcoat yearn
CONTRAST KNIT POLO SHIRT,Collared knit polo shirt. Button-up front. Short sleeves featuring ribbed trims with contrast detail.,PoloFront1,PoloBack1,Zara,"https://www.zara.com/eg/en/contrast-knit-polo-shirt-p03284410.html
",Polo,adult_female brown brownness design designing floral flowered gold light rose rosebush shirt visible_light visible_radiation woman
POLO SHIRT WITH MERCERISED FINISH,Polo shirt made of cotton with a mercerised finish. Featuring a lapel collar with front button fastening and short sleeves.,PoloFront10,PoloBack10,Zara,"https://www.zara.com/eg/en/polo-shirt-with-mercerised-finish-p04442410.html
",Polo,Caucasian White White_person adult_female color coloring colour colouring top woman
TEXTURED POINTELLE POLO SHIRT,Loose-fitting collared polo shirt with a front opening. Short sleeves. Ribbed trims.,PoloFront11,PoloBack11,Zara,"https://www.zara.com/eg/en/textured-pointelle-polo-shirt-p06462411.html
",Polo,adult_female cervix crop harvest jacket neck one_shot round sleeveless unit_of_ammunition woman
CROCHET KNIT POLO SHIRT - LIMITED EDITION,Knit polo shirt made of a viscose blend fabric. Featuring a collar with front opening. Short sleeves.,PoloFront13,PoloBack13,Zara,"https://www.zara.com/eg/en/crochet-knit-polo-shirt---limited-edition-p09598447.html
",Polo,adult_female arm design designing half one-half shirt sleeve woman
RIBBED KNIT POLO SHIRT,Knit polo shirt made of spun cotton fabric. Buttoned placket on the front. Ribbed trims.,PoloFront14,PoloBack14,Zara,"https://www.zara.com/eg/en/ribbed-knit-polo-shirt-p03332430.html
",Polo,Caucasian White White_person adult_female blue blueness shirt woman
TEXTURED POLO SHIRT,Collared polo shirt with a front opening. Short sleeves. Ribbed trims.,PoloFront15,PoloBack15,Zara,"https://www.zara.com/eg/en/textured-polo-shirt-p04092404.html
",Polo,Ag adult_female atomic_number_47 check checker chequer design designing shirt silver singlet undershirt vest woman
RIBBED KNIT POLO SHIRT,Knit polo shirt made of spun cotton fabric. Buttoned placket on the front. Short sleeves. Ribbed trims.,PoloFront16,PoloBack16,Zara,"https://www.zara.com/eg/en/ribbed-knit-polo-shirt-p03332432.html
",Polo,arm ball brown brownness formal half one-half sleeve top wear
ZIPPED POLO SHIRT,"Relaxed-fit collared shirt featuring a zip-up front, chest patch pocket and short sleeves.",PoloFront18,PoloBack18,Zara,"https://www.zara.com/eg/en/zipped-polo-shirt-p06085411.html
",Polo,black blackness everyday inkiness mundane pink quotidian routine shirt tassle unremarkable wear winter wintertime workaday
TEXTURED POLO SHIRT,Collared polo shirt with a front opening. Short sleeves.,PoloFront19,PoloBack19,Zara,"https://www.zara.com/eg/en/textured-polo-shirt-p00722402.html
",Polo,arm casual coat cyberspace design designing half insouciant internet net nonchalant one-half pant sleeve
STRIPED KNIT POLO SHIRT,Collared regular fit polo shirt with a front opening. Short sleeves. Ribbed trims.,PoloFront20,PoloBack20,Zara,"https://www.zara.com/eg/en/striped-knit-polo-shirt-p03284415.html
",Polo,adult_female arm cervix half neck one-half one_shot round sleeve top unit_of_ammunition woman
VISCOSE BLEND KNIT POLO SHIRT,Collared knit polo shirt made of a spun viscose blend. Button-up front. Short sleeves. Ribbed trims.,PoloFront21,PoloBack21,Zara,"https://www.zara.com/eg/en/viscose-blend-knit-polo-shirt-p00304417.html
",Polo,adult_female beige color coloring colour colouring ecru green greenness olive shirt viridity woman
TEXTURED KNIT POLO SHIRT,Knit polo shirt made of spun cotton fabric. Buttoned placket on the front. Short sleeves. Ribbed trims.,PoloFront22,PoloBack22,Zara,"https://www.zara.com/eg/en/textured-knit-polo-shirt-p05755419.html
",Polo,adult_female arm design designing full full-of-the-moon full_moon full_phase_of_the_moon sexy shirt sleeve woman
TEXTURED POLO SHIRT,Short sleeve polo shirt with a buttoned placket on the front.,PoloFront23,PoloBack23,Zara,"https://www.zara.com/eg/en/textured-polo-shirt-p01887403.html
",Polo,Caucasian White White_person arm cervix design designing floral flowered foliage half leaf leafage neck one-half sleeve top
COTTON - LINEN KNIT POLO SHIRT,Knit polo shirt made of spun cotton and linen blend. Lapel collar and button-up front. Short sleeves.,PoloFront24,PoloBack24,Zara,"https://www.zara.com/eg/en/cotton---linen-knit-polo-shirt-p02893420.html
",Polo,adult_female arm black blackness blouse half inkiness line one-half pink shirt sleeve woman
TEXTURED KNIT POLO SHIRT,"Collared polo shirt made of spun cotton. Front button fastening, short sleeves and ribbed trims.",PoloFront26,PoloBack26,Zara,"https://www.zara.com/eg/en/textured-knit-polo-shirt-p02893417.html
",Polo,adult_female arm knitwear shirt short sleeve unisex woman
OVERSIZE KNIT POLO SHIRT,Oversize fit knit polo shirt made of spun cotton fabric. Collar with a front button fastening. Short sleeves.,PoloFront3,PoloBack3,Zara,"https://www.zara.com/eg/en/oversize-knit-polo-shirt-p04216409.html
",Polo,adult_female black blackness fashionable inkiness jacket leather stylish woman
RIBBED KNIT POLO SHIRT,Knit polo shirt made of spun cotton fabric. Buttoned placket on the front. Ribbed trims.,PoloFront6,PoloBack6,Zara,"https://www.zara.com/eg/en/ribbed-knit-polo-shirt-p03284414.html
",Polo,adult_female arm brown brownness cervix half neck one-half one_shot round shirt sleeve unit_of_ammunition woman
KNIT POLO SHIRT WITH OPENING,Knit collared polo shirt made of spun cotton fabric. Front opening and short sleeves. Ribbed trims.,PoloFront7,PoloBack7,Zara,"https://www.zara.com/eg/en/knit-polo-shirt-with-opening-p02893414.html
",Polo,aught cipher cypher goose_egg green greenness linen nada naught nil nix nothing null shirt viridity zero zilch zip zippo
TEXTURED KNIT POLO SHIRT,Collared polo shirt with a front opening. Short sleeves.,PoloFront8,PoloBack8,Zara,"https://www.zara.com/eg/en/textured-knit-polo-shirt-p04231405.html
",Polo,black blackness border borderline boundary_line cervix delimitation design designing inkiness mete neck one_shot pink round shirt unit_of_ammunition
TEXTURED POLO SHIRT,Collared polo shirt with a button-up front. Short sleeves. Ribbed trims.,PoloFront9,PoloBack9,Zara,"https://www.zara.com/eg/en/textured-polo-shirt-p01716410.html
",Polo,Caucasian White White_person adult_female arm aught cipher cypher full full-of-the-moon full_moon full_phase_of_the_moon goose_egg nada naught nil nix nothing null print publish shirt sleeve woman zero zilch zip zippo
LYOCELL BLEND BERMUDA SHORTS,Relaxed fit Bermuda shorts made of a lyocell blend fabric. Adjustable elastic waist with drawstring. Side pockets and rear welt pockets.,ShortsFront1,ShortsBack1,Zara,"https://www.zara.com/eg/en/lyocell-blend-bermuda-shorts-p00775109.html
",Shorts,Midi ball blue blueness formal skirt wear
JOGGER BERMUDA SHORTS,Bermuda shorts featuring an adjustable elasticated waistband with drawstring. Front pockets and back patch pocket detail. Split hems.,ShortsFront10,ShortsBack10,Zara,"https://www.zara.com/eg/en/jogger-bermuda-shorts-p05584410.html
",Shorts,Caucasian White White_person adult_female skirt stripe woman
TEXTURED BERMUDA SHORTS WITH TAPING,Relaxed fit Bermuda shorts. Adjustable elasticated waistband with drawstring. Side pockets. Contrast taping on the sides and hems.,ShortsFront11,ShortsBack11,Zara,"https://www.zara.com/eg/en/textured-bermuda-shorts-with-taping-p00761440.html
",Shorts,black blackness color coloring_material colour colouring_material inkiness sleeveless top
PLEATED BERMUDA SHORTS - LIMITED EDITION,Regular fit Bermuda shorts made of a linen blend. Front pleated details at the waist. Side pockets at the hip and back welt pockets. Front zip fly and button fastening.,ShortsFront12,ShortsBack12,Zara,"https://www.zara.com/eg/en/pleated-bermuda-shorts---limited-edition-p04586521.html
",Shorts,adult_female ash background red redness skirt woman
COTTON - LINEN CARGO BERMUDA SHORTS,Relaxed-fit Bermuda shorts made of a cotton and linen blend. Front pleated details at the waist. Front pockets and back welt pockets. Patch pocket appliqué on the leg. Front zip fly and concealed metal hook fastening.,ShortsFront13,ShortsBack13,Zara,"https://www.zara.com/eg/en/cotton---linen-cargo-bermuda-shorts-p06861915.html
",Shorts,Caucasian White White_person adult_female block color coloring_material colour colouring_material skirt woman
HERRINGBONE TEXTURE BERMUDA SHORTS,Regular-fit Bermuda shorts made of cotton and linen. Front pockets and back jetted pockets. Front zip fly and top button fastening.,ShortsFront14,ShortsBack14,Zara,"https://www.zara.com/eg/en/herringbone-texture-bermuda-shorts-p00975292.html
",Shorts,Grey Zane_Grey adult_female bottom conniption fit free liberate loose release scene tantrum underside undersurface unloose unloosen wear woman
TEXTURED COTTON BERMUDA SHORTS,Bermuda shorts made of rustic textured cotton. Elastic waistband with adjustable drawstring. Front pockets and back welt pockets.,ShortsFront16,ShortsBack16,Zara,"https://www.zara.com/eg/en/textured-cotton-bermuda-shorts-p07147410.html
",Shorts,Caucasian White White_person articulatio_genus champaign elastic elastic_band field genu human_knee knee knee_joint length plain rubber_band skirt waist waistline
FADED TEXTURE BERMUDAS,Relaxed-fit Bermuda shorts made of textured cotton fabric. Adjustable elasticated waistband with inner drawstring. Side pockets and a back welt pocket detail. Hems with side vents. Faded effect.,ShortsFront17,ShortsBack17,Zara,"https://www.zara.com/eg/en/faded-texture-bermudas-p06917411.html
",Shorts,adult_female bottom brown brownness conniption fashionable fit light lose_weight melt_off reduce scene slenderize slim slim_down stylish tantrum thin underside undersurface visible_light visible_radiation wear woman
STRIPED TEXTURED BERMUDA SHORTS,Regular-fit Bermuda shorts. Adjustable elastic waistband with drawstring. Front pockets and back patch pocket.,ShortsFront18,ShortsBack18,Zara,"https://www.zara.com/eg/en/striped-textured-bermuda-shorts-p02675420.html
",Shorts,adult_female boho button champaign field plain woman
